"HolderAddress","Quantity","PendingBalanceUpdate"
"0x63a9dbce75413036b2b778e670aabd4493aaf9f3","2","No"
"0x65823fa145f5a79e4a1ed72be48ae15da10cd5d4","2","No"
"0x69df7dd293eeff309d8fa12126be3f5d2eb277e2","2","No"
"0x69e5c3157cc23f2e5c4b12fd2929e6346abd29ee","2","No"
"0x719da550453ff1afd4ce5cc648168d768d98f613","2","No"
"0x73ff129a689364996432a1a3a4587e3f132b67da","2","No"
"0x749f93bceb1f2512481112d149c938e15fb56e1b","2","No"
"0x760aafc261881f1bb0587ef76f0db9c592f7337e","2","No"
"0x770c03b369d66f17ffcee3b5b125bdd86a217ae8","2","No"
"0x7853010ab93f48ce78137703f7f0d21ace194d11","2","No"
"0x78ae7490d39939553d5f14aabf970cb8c4c3b81c","2","No"
"0x7bd52db13db3e23b5703b4226a610cda7f0f2b78","2","No"
"0x7be510709b0595ef57958709162e6bd7aedc188e","2","No"
"0x80ff949738e317d9032cef5c999a10183fe2fa4c","2","No"
"0x85c0c09570c955f6e07522e9ad6041716cbbb7fe","2","No"
"0x86ae652f7738f4b720da659a4ab73808450ad7e4","2","No"
"0x8a986425ea43885e331f038d1a3605860061076a","2","No"
"0x8b8db5b327a3d051367d78b4a028722ee06555f1","2","No"
"0x8c5a84e14310823285ec4b9ec9854f9059446975","2","No"
"0x8d3ebdf03460a9fe5ad4e3202c07bae6fcf67a94","2","No"
"0x8f9c8d7f8d44fd2486bcf0605efa5fd0c397a658","2","No"
"0x8fe8cd04ad2cffe0d09cc45386659ccf4dcfee48","2","No"
"0x90f440e449c47f4caf78c62c131dfc38ab491d4a","2","No"
"0x93c79c3ee2964efb7235b9f445f50e6ff9003ac1","2","No"
"0x9af481276b075e036bc23e887a8bd275e69ef74c","2","No"
"0xa13e1b3e5959378df847fce2161cee55df64cc1f","2","No"
"0xa3cb30128532f43fe1c8a9f4c19422aa631307a9","2","No"
"0xaca056daaa8241843a2d90057272024e9583de93","2","No"
"0xad36498aa9a482d522732e3324b9d2b343050f56","2","No"
"0xb127c71b853e68682e7292d05387e1ccc7888f4b","2","No"
"0xb1af13b2e4be55ca69829a23c09a1f5663adf8d0","2","No"
"0xb294ce56b0b12d0f32d61dca52bd39dae74e1156","2","No"
